14244,14245,2,3,54000
19160,17749,1,2,15000
26178,24745,1,2,15000
84264,80316,1,5,15000
27784,25762,1,4,15000
53754,51586,1,2,15000
81009,79061,1,3,15000
3109,1472,1,4,15000
6786,1472,2,1,18000
45228,42409,2,5,18000
74960,73003,1,3,15000
25269,21006,1,2,15000
20209,18443,1,5,15000
86059,82288,1,2,15000
90868,82288,3,2,20000
82021,79679,1,2,15000
85670,79679,3,2,20000
41534,39198,1,2,15000
91116,88943,1,2,15000
94988,88943,3,2,20000
52120,50833,1,2,15000
64349,62030,1,2,15000
46147,45101,1,2,15000
21292,20088,1,2,15000
36275,35124,1,2,15000
3840,97087,7,30,55000
18950,16704,7,30,55000
6247,4288,7,30,55000
91876,89180,7,30,55000
83446,81386,7,30,55000
86797,85045,7,30,55000
21671,19763,7,30,55000
75814,72690,1,2,15000
80950,72690,3,2,20000
82610,78290,3,10,20000
32640,27768,3,20,20000
86510,83949,7,20,55000
30751,28967,7,20,55000
54718,53469,7,20,55000
23059,20830,7,20,55000
71469,69340,7,20,55000
64735,63281,7,20,55000
8042,6093,7,20,55000
40740,39387,7,20,55000
82063,80674,7,20,55000
77399,75495,7,20,55000
62049,60630,7,20,55000
59975,58360,7,20,55000
31067,29301,7,20,55000
14329,12464,7,20,55000
85035,82665,7,20,55000
65463,63689,7,20,55000
53205,50339,5,20,45000
73483,71420,5,20,45000
95393,89908,4,30,45000
1619,89908,5,10,45000
15395,12189,7,20,55000
39815,37369,5,20,45000
50795,45541,3,5,20000
84470,78233,4,5,45000
60969,56984,1,20,15000
82114,77838,1,20,15000
88510,77838,2,10,18000
95750,92705,7,10,55000
9579,7034,1,10,15000
60293,56419,3,2,20000
65599,56419,7,5,55000
77382,73873,4,5,45000
81998,73873,5,4,45000
92369,88104,6,10,55000
12734,88104,1,4,15000
17007,88104,4,6,45000
46503,42526,5,10,45000
73621,65780,3,10,20000
84519,81833,3,5,20000
89633,81833,6,6,55000
14449,97145,5,2,45000
66608,64420,1,10,15000
851,88244,4,4,45000
72530,70381,1,10,15000
84617,82175,2,5,18000
92281,82175,7,10,55000
13021,1577,3,5,20000
18210,1577,4,10,45000
32086,30010,5,4,45000
50730,38739,5,10,45000
61257,58456,2,5,18000
65232,58456,6,4,55000
82950,80011,5,10,45000
16491,14573,4,2,45000
19351,14573,6,3,55000
30751,28839,1,6,15000
33653,28839,4,2,45000
78017,76051,2,5,18000
22886,20486,6,2,55000
26709,20486,7,5,55000
50342,46211,6,2,55000
53136,46211,5,6,45000
55666,46211,1,4,15000
86685,76567,5,6,45000
89260,76567,3,2,20000
92720,76567,6,4,55000
94923,76567,2,4,18000
1082,76567,4,2,45000
16789,14020,4,1,45000
77682,68351,7,10,55000
32791,29059,5,10,45000
52366,49950,4,10,45000
26075,23623,4,10,45000
35305,33429,4,20,45000
12957,4575,6,4,55000
18439,4575,3,6,20000
71488,67529,5,10,45000
88172,85615,4,10,45000
21800,15705,6,10,55000
52961,42146,4,10,45000
34044,26791,1,10,15000
64024,54324,1,1,15000
15679,13289,1,10,15000
26741,24297,1,10,15000
30189,24297,3,4,20000
57205,54726,3,2,20000
